route,start_stop_id,end_stop_id,flow_begin,flow_end,period,duration,nr_of_buses,nr_of_repetitions,nr_of_trips_pd,line,depot,type,bothdepots,doubledecker
M76_11759,agg_10385_45_10395_0_11755_32_11759_0,agg_10444_40_11759_32_12115_49,1620,85440,600.0,2720.0,5,30,139,M76,cicerostrasse,GN,0,0
M82_11800,agg_11800_0_11164_0_11804_22_11166_22,11800_21,2100,85620,600.0,1640.0,3,50,139,M82,cicerostrasse,DL,0,0
M82_11804,11804_0,agg_11800_0_11164_0_11804_22_11166_22,2160,85500,600.0,1700.0,3,49,138,M82,cicerostrasse,DL,0,0
X11_12422,12422_0,agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1,15780,85860,600.0,4400.0,8,15,116,X11,muellerstrasse,GN,0,0
X11_12434,agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1,agg_12434_34_12434_35,15780,86160,1080.0,4340.0,5,16,65,X11,muellerstrasse,GN,0,0
X33_12472,agg_11090_0_10036_0_12472_0,agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20,19020,82620,600.0,2780.0,5,22,106,X33,muellerstrasse,GN,0,0
X33_12475,agg_9828_0_12475_0,agg_10045_25_11089_9_12475_23,19320,79320,600.0,2780.0,5,21,100,X33,muellerstrasse,GN,0,0
X83_12561,agg_12570_35_12561_0,agg_12113_47_12561_34_12556_9,15960,85560,540.0,2900.0,6,24,128,X83,cicerostrasse,GN,0,1
X83_12570,agg_12115_0_12558_0_12570_0,agg_12570_35_12561_0,1200,85380,540.0,3140.0,6,26,155,X83,cicerostrasse,GN,0,1
143_12751,12751_0,agg_12751_33_12751_34_11845_43,1800,86040,1200.0,2540.0,3,33,70,143,cicerostrasse,EN,0,0
M43_12763,agg_12788_0_12763_0_12771_36,agg_12763_36_12771_0,1260,85260,480.0,3200.0,7,26,175,M43,cicerostrasse,GN,0,0
M43_12771,agg_12763_36_12771_0,agg_12788_0_12763_0_12771_36,1860,85620,360.0,3200.0,9,26,232,M43,cicerostrasse,GN,0,0
