ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP;START_STOP_NAME;END_STOP_NAME;START_STOP_COORDINATES;END_STOP_COORDINATES
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;58920.0;62780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;59520.0;63380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;60120.0;63980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;60720.0;64580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;61320.0;65180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;61920.0;65780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;62520.0;66380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;63120.0;66980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;63720.0;67580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;64320.0;68180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;64920.0;68780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;65520.0;69380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;66120.0;69980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;66720.0;70580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;67320.0;71180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;67920.0;71780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;68520.0;72380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;69120.0;72980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;69720.0;73580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;70320.0;74180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;70920.0;74780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;71520.0;75380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;72120.0;75980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;72720.0;76580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;73320.0;77180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;73920.0;77780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;74520.0;78380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;75120.0;78980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;75720.0;79580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;76320.0;80180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;76920.0;80780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;77520.0;81380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;78120.0;81980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
