FromEdgeID;ToEdgeID;RunTime
914393586;52158843#1;827
914393586;-857983579;337
914393586;243102981;796
914393586;806903754;274
914393586;385888165#4;924
914393586;-31002335#0;1187
914393586;138515677#4;1129
914393586;256245721;952
914393586;710761406;702
914393586;30143978#1;672
914393586;-858123638#0;1368
914393586;4463221#1;691
914393586;451621867#1;1178
914393586;-451621866;1225
914393586;4392634#2;964
914393586;MA080;1297
914393586;-450086133;746
914393586;32197350#0;688
914393586;139806486#2;765
914393586;-79701272#0;1381
914393586;30709383;1438
914393586;151043332#5;881
914393586;332306828#3;433
914393586;4442099#1;598
914393586;450189363;1144
4517104;E19.203;520
4517104;671403224#1;278
4517104;-140336718#0;1061
4517104;30276434#1;206
4517104;914393586;484
4517104;4517104;6
4517104;-25418282;110
4517104;718428117#1;575
4517104;207716520;611
4517104;23044566;919
4517104;4368690;241
4517104;451458155;869
4517104;375861848;431
4517104;-420483060#0;869
4517104;24041366;527
4517104;455953261#1;869
4517104;111251392;336
4517104;-333626093;526
4517104;4389557#1;292
4517104;42813669;1154
4517104;24735700;1139
4517104;456213456;493
4517104;231262268#0;1098
4517104;27606891#2;522
4517104;-10947989;1311
4517104;98410013#0;1315
4517104;172282359;468
4517104;148288810#2;849
4517104;76402289;201
4517104;461910870#2;698
4517104;30157285;442
4517104;24160797;729
4517104;4616321#2;265
4517104;-259536422;1380
4517104;-39496182#0;1122
4517104;MA047;712
4517104;-669433184;945
4517104;4802807#2;847
4517104;39473294;1163
4517104;41976565;992
4517104;-671403217;359
4517104;-165465028#0;387
4517104;4486596#2;376
4517104;24673480;424
4517104;30699893;353
4517104;-469999015;761
4517104;469999020;444
4517104;120395207#1;735
4517104;30157290;453
4517104;469999032;598
4517104;30157292#1;430
4517104;-469999029;656
4517104;25369033#2;244
4517104;15926759;373
4517104;4594894#4;639
4517104;57936173#3;579
4517104;223737429;1141
4517104;-461331989#0;1032
4517104;28819804;644
4517104;-MA068;987
4517104;23109073#1;499
4517104;52158843#1;425
4517104;-857983579;317
4517104;243102981;716
4517104;806903754;308
4517104;385888165#4;522
4517104;-31002335#0;879
4517104;138515677#4;821
4517104;256245721;769
4517104;710761406;335
4517104;30143978#1;355
4517104;-858123638#0;1060
4517104;4463221#1;371
4517104;451621867#1;862
4517104;-451621866;909
4517104;4392634#2;830
4517104;MA080;989
4517104;-450086133;798
4517104;32197350#0;727
4517104;139806486#2;598
4517104;-79701272#0;1073
4517104;30709383;1131
4517104;151043332#5;562
4517104;332306828#3;387
4517104;4442099#1;242
4517104;450189363;810
-25418282;E19.203;538
-25418282;671403224#1;296
-25418282;-140336718#0;1070
-25418282;30276434#1;224
-25418282;914393586;502
-25418282;4517104;24
-25418282;-25418282;12
-25418282;718428117#1;584
-25418282;207716520;620
-25418282;23044566;928
-25418282;4368690;235
-25418282;451458155;887
-25418282;375861848;449
-25418282;-420483060#0;887
-25418282;24041366;545
-25418282;455953261#1;887
-25418282;111251392;354
-25418282;-333626093;544
-25418282;4389557#1;310
-25418282;42813669;1172
-25418282;24735700;1157
-25418282;456213456;511
-25418282;231262268#0;1116
-25418282;27606891#2;540
-25418282;-10947989;1329
-25418282;98410013#0;1333
-25418282;172282359;478
-25418282;148288810#2;843
-25418282;76402289;219
-25418282;461910870#2;692
-25418282;30157285;436
-25418282;24160797;723
-25418282;4616321#2;283
-25418282;-259536422;1398
-25418282;-39496182#0;1140
-25418282;MA047;730
-25418282;-669433184;963
-25418282;4802807#2;865
-25418282;39473294;1181
-25418282;41976565;1010
-25418282;-671403217;377
-25418282;-165465028#0;405
-25418282;4486596#2;384
-25418282;24673480;432
-25418282;30699893;362
-25418282;-469999015;755
-25418282;469999020;438
-25418282;120395207#1;729
-25418282;30157290;447
-25418282;469999032;606
-25418282;30157292#1;424
-25418282;-469999029;665
-25418282;25369033#2;254
-25418282;15926759;391
-25418282;4594894#4;657
-25418282;57936173#3;597
-25418282;223737429;1159
-25418282;-461331989#0;1050
-25418282;28819804;662
-25418282;-MA068;981
-25418282;23109073#1;507
-25418282;52158843#1;419
-25418282;-857983579;335
-25418282;243102981;734
-25418282;806903754;326
-25418282;385888165#4;515
-25418282;-31002335#0;873
-25418282;138515677#4;815
-25418282;256245721;778
-25418282;710761406;329
-25418282;30143978#1;349
-25418282;-858123638#0;1054
-25418282;4463221#1;365
-25418282;451621867#1;856
-25418282;-451621866;903
-25418282;4392634#2;839
-25418282;MA080;983
-25418282;-450086133;816
-25418282;32197350#0;745
-25418282;139806486#2;607
-25418282;-79701272#0;1067
-25418282;30709383;1125
-25418282;151043332#5;556
-25418282;332306828#3;405
-25418282;4442099#1;236
-25418282;450189363;823
718428117#1;E19.203;957
718428117#1;671403224#1;803
718428117#1;-140336718#0;588
718428117#1;30276434#1;731
718428117#1;914393586;803
718428117#1;4517104;596
718428117#1;-25418282;597
718428117#1;718428117#1;9
718428117#1;207716520;105
718428117#1;23044566;428
718428117#1;4368690;421
718428117#1;451458155;1256
718428117#1;375861848;940
718428117#1;-420483060#0;1188
718428117#1;24041366;895
718428117#1;455953261#1;1188
718428117#1;111251392;839
718428117#1;-333626093;845
718428117#1;4389557#1;795
718428117#1;42813669;1639
718428117#1;24735700;1459
718428117#1;456213456;954
718428117#1;231262268#0;1417
718428117#1;27606891#2;864
718428117#1;-10947989;1828
718428117#1;98410013#0;1832
718428117#1;172282359;430
718428117#1;148288810#2;590
718428117#1;76402289;748
718428117#1;461910870#2;611
718428117#1;30157285;346
718428117#1;24160797;419
718428117#1;4616321#2;476
718428117#1;-259536422;1093
718428117#1;-39496182#0;1441
718428117#1;MA047;1031
718428117#1;-669433184;1264
718428117#1;4802807#2;1166
718428117#1;39473294;1482
718428117#1;41976565;1311
718428117#1;-671403217;862
718428117#1;-165465028#0;890
718428117#1;4486596#2;244
718428117#1;24673480;261
718428117#1;30699893;334
718428117#1;-469999015;791
718428117#1;469999020;348
718428117#1;120395207#1;731
718428117#1;30157290;358
718428117#1;469999032;83
718428117#1;30157292#1;334
718428117#1;-469999029;90
718428117#1;25369033#2;501
718428117#1;15926759;649
718428117#1;4594894#4;1013
