FromStopID;ToStopID;RunTime
10661_32;9646_49;1502
10661_32;agg_9633_48_11946_43_11949_0_9646_0;1250
10661_32;agg_11516_32_11970_0_12041_8_11921_0;1965
10661_32;agg_9828_4_11970_4_10691_33_9844_29;1875
10661_32;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;1649
10661_32;agg_9863_50_11969_8;1553
10661_32;agg_9897_0_9973_34_9889_51_9963_0;2167
10661_32;agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20;1897
10661_32;agg_10142_44_10136_0_9897_50_9889_0;2348
10661_32;agg_10045_25_11089_9_12475_23;1617
10661_32;agg_10740_22_10099_15;1666
10661_32;agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;1662
10661_32;agg_10115_37_10115_38_10189_36_10189_37;2628
10661_32;agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;2040
10661_32;agg_10385_45_10395_0_11755_32_11759_0;1921
10661_32;agg_10437_17_10498_41;1470
10661_32;agg_10444_40_11759_32_12115_49;1340
10661_32;agg_10804_21_10804_22_11538_46_11538_47_10481_5;1266
10661_32;agg_10994_0_10980_36;1284
10661_32;agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;1298
10661_32;agg_11518_32_11523_0;1396
10661_32;agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1;1459
10661_32;agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11;1572
10661_32;agg_11538_0_11530_46;1818
10661_32;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;1424
10661_32;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;1590
10661_32;agg_10965_0_10970_27;1271
10661_32;agg_11800_0_11164_0_11804_22_11166_22;1271
10661_32;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;2020
10661_32;agg_11967_43_11963_0_10695_0_10705_33;2190
10661_32;agg_12113_47_12561_34_12556_9;1934
10661_32;agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;1295
10661_32;agg_12570_35_12561_0;1161
10661_32;agg_12751_33_12751_34_11845_43;1293
10661_32;agg_12788_0_12763_0_12771_36;1342
10661_32;agg_10661_0_10064_29_10663_31_10066_0;1180
10661_32;agg_9908_53_9922_0;2125
10661_32;agg_12434_34_12434_35;929
10661_32;agg_11804_21_10538_19_11166_21_10970_26_10537_0_10538_20;1296
10661_32;agg_10537_16_10538_0;1247
10661_32;agg_10675_37_10671_0_11957_0_11962_49_10671_1_11957_1;2149
10661_32;agg_11679_0_11683_37_11679_1;980
10661_32;agg_11679_36_11683_0;1634
10661_32;agg_10671_36_11882_47_11989_25;1738
10661_32;agg_11518_0_11838_49_11845_0_11523_30;1941
10661_32;agg_9777_0_9773_29;1287
10661_32;agg_9777_31_9773_0;983
10661_32;agg_11060_0_11067_23;1723
10661_32;agg_10965_25_10970_0;1448
10661_32;agg_12123_27_12124_0_10487_0_10481_42;1448
10661_32;agg_11065_20_11067_0_9852_0_9844_45;1897
10661_32;agg_11039_0_11037_12;1358
10661_32;agg_12763_36_12771_0;2129
10661_32;agg_11475_0_11467_26_11475_1;1691
10661_32;agg_11475_27_10487_39_10481_0_11467_0;1187
10661_32;agg_11079_0_11077_9_11079_1_10705_29;2060
10661_32;agg_11079_10_11077_0;2168
10661_32;agg_11082_16_10120_31_11085_0_12038_6;1813
10661_32;agg_9852_46_9844_0;1604
10948_29;1;1126
10948_29;9735_25;741
10948_29;10994_37;822
10948_29;11407_61;626
10948_29;11658_39;495
10948_29;11800_21;498
10948_29;10661_32;1717
10948_29;10948_29;14
10948_29;9873_50;792
10948_29;9724_18;1099
10948_29;10785_23;805
10948_29;9646_49;871
10948_29;agg_9633_48_11946_43_11949_0_9646_0;1064
10948_29;agg_11516_32_11970_0_12041_8_11921_0;1378
10948_29;agg_9828_4_11970_4_10691_33_9844_29;1420
10948_29;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;949
10948_29;agg_9863_50_11969_8;1140
