TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP;START_STOP_NAME;END_STOP_NAME;START_STOP_COORDINATES;END_STOP_COORDINATES
54;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;67200.0;71250.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
55;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;68400.0;72450.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
56;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;69600.0;73650.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
57;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;70800.0;74850.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
58;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;72120.0;76170.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
59;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;73560.0;77610.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
60;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;74760.0;78810.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
61;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;75960.0;80010.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
62;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;77160.0;81210.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
63;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;78420.0;82470.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
64;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;79680.0;83730.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
65;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;80880.0;84930.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
66;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;82080.0;86130.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
67;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;83280.0;87330.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
68;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;84480.0;88530.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
69;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;85800.0;89850.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
70;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;87000.0;91050.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
71;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;15600.0;19800.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
72;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;15720.0;19920.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
73;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;16200.0;20400.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
74;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;17400.0;21600.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
75;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;18600.0;22800.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
76;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;19800.0;24000.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
77;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;21000.0;25200.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
78;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;22080.0;26280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
79;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;23280.0;27480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
80;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;24480.0;28680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
81;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;25080.0;29280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
82;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;25680.0;29880.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
83;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;26280.0;30480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
84;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;26880.0;31080.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
85;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;27480.0;31680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
86;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;28080.0;32280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
87;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;29280.0;33480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
88;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;30480.0;34680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
89;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;31680.0;35880.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
90;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;32880.0;37080.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
91;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;34080.0;38280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
92;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;35280.0;39480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
93;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;36480.0;40680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
94;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;37680.0;41880.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
95;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;38880.0;43080.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
96;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;40080.0;44280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
97;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;41280.0;45480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
98;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;42480.0;46680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
99;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;43680.0;47880.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
100;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;44880.0;49080.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
101;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;46080.0;50280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
102;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;47280.0;51480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
103;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;47880.0;52080.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
104;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;48480.0;52680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
105;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;49080.0;53280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
106;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;49680.0;53880.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
107;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;50280.0;54480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
108;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;50880.0;55080.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
109;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;51480.0;55680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
110;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;52080.0;56280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
111;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;52680.0;56880.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
112;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;53280.0;57480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
113;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;53880.0;58080.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
114;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;54480.0;58680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
115;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;55680.0;59880.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
116;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;56880.0;61080.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
117;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;58080.0;62280.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
118;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;59280.0;63480.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
119;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;cicerostrasse;60480.0;64680.0;Sachtlebenstr. (Berlin);Berlin, Turmstr./Lübecker Str.;13.251566,52.409452;13.343485,52.526211
