TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP
77;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;74580.0;76400.0
78;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;75300.0;77120.0
79;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;76020.0;77840.0
80;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;76740.0;78560.0
81;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;77460.0;79280.0
82;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;78180.0;80000.0
83;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;78900.0;80720.0
84;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;79620.0;81440.0
85;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;80340.0;82160.0
86;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;81060.0;82880.0
87;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;81780.0;83600.0
88;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;82500.0;84320.0
89;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;83220.0;85040.0
90;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;83940.0;85760.0
91;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;84660.0;86480.0
92;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;85380.0;87200.0
93;109_9724;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;9724_18;Müllerstraße;19200.0;21200.0
94;109_9724;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;9724_18;Müllerstraße;19800.0;21800.0
95;109_9724;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;9724_18;Müllerstraße;20400.0;22400.0
96;109_9724;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;9724_18;Müllerstraße;21000.0;23000.0
97;109_9724;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;9724_18;Müllerstraße;21600.0;23600.0
98;109_9724;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;9724_18;Müllerstraße;22200.0;24200.0
99;109_9724;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;9724_18;Müllerstraße;22800.0;24800.0
