TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP
82;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;63720.0;67580.0
83;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;64320.0;68180.0
84;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;64920.0;68780.0
85;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;65520.0;69380.0
86;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;66120.0;69980.0
87;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;66720.0;70580.0
88;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;67320.0;71180.0
89;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;67920.0;71780.0
90;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;68520.0;72380.0
91;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;69120.0;72980.0
92;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;69720.0;73580.0
93;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;70320.0;74180.0
94;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;70920.0;74780.0
95;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;71520.0;75380.0
96;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;72120.0;75980.0
97;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;72720.0;76580.0
98;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;73320.0;77180.0
99;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;73920.0;77780.0
100;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;74520.0;78380.0
101;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;75120.0;78980.0
102;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;75720.0;79580.0
103;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;76320.0;80180.0
104;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;76920.0;80780.0
105;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;77520.0;81380.0
106;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;78120.0;81980.0
107;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;78720.0;82580.0
108;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;79320.0;83180.0
109;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;79920.0;83780.0
110;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;80520.0;84380.0
111;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;81120.0;84980.0
112;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;81720.0;85580.0
113;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;82320.0;86180.0
114;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;82920.0;86780.0
115;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;83520.0;87380.0
116;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;84120.0;87980.0
117;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;84720.0;88580.0
118;101_9646;agg_9633_48_11946_43_11949_0_9646_0;9646_49;Cicerostraße;1740.0;5720.0
